INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
8.73	0.00	2072.76	
8.74	0.00	2076.80	
8.75	0.00	2080.83	
8.76	0.00	2084.87	
8.77	0.00	2088.91	
8.78	0.00	2092.96	
8.79	0.00	2097.00	
8.80	0.00	2101.05	
8.81	0.00	2105.10	
8.82	0.00	2109.14	
8.83	0.00	2113.19	
8.84	0.00	2117.25	
8.85	0.00	2121.30	
8.86	0.00	2125.35	
8.87	0.00	2129.41	
8.88	0.00	2133.47	
8.89	0.00	2137.53	
8.90	0.00	2141.59	
8.91	0.00	2145.65	
8.92	0.00	2149.71	
8.93	0.00	2153.78	
8.94	0.00	2157.84	
8.95	0.00	2161.91	
8.96	0.00	2165.98	
8.97	0.00	2170.05	
8.98	0.00	2174.12	
8.99	0.00	2178.20	
9.00	0.00	2182.27	
9.01	0.00	2186.35	
9.02	0.00	2190.42	
9.03	0.00	2194.50	
9.04	0.00	2198.58	
9.05	0.00	2202.67	
9.06	0.00	2206.75	
9.07	0.00	2210.84	
9.08	0.00	2214.92	
9.09	0.00	2219.01	
9.10	0.00	2223.10	
9.11	0.00	2227.19	
9.12	0.00	2231.28	
9.13	0.00	2235.37	
9.14	0.00	2239.47	
9.15	0.00	2243.57	
9.16	0.00	2247.66	
9.17	0.00	2251.76	
9.18	0.00	2255.86	
9.19	0.00	2259.96	
9.20	0.00	2264.07	
9.21	0.00	2268.17	
9.22	0.00	2272.28	
9.23	0.00	2276.39	
9.24	0.00	2280.50	
9.25	0.00	2284.61	
9.26	0.00	2288.72	
9.27	0.00	2292.83	
9.28	0.00	2296.94	
9.29	0.00	2301.06	
9.30	0.00	2305.18	
9.31	0.00	2309.30	
9.32	0.00	2313.42	
9.33	0.00	2317.54	
9.34	0.00	2321.66	
9.35	0.00	2325.79	
9.36	0.00	2329.91	
9.37	0.00	2334.04	
9.38	0.00	2338.17	
9.39	0.00	2342.30	
9.40	0.00	2346.43	
9.41	0.00	2350.56	
9.42	0.00	2354.69	
9.43	0.00	2358.83	
9.44	0.00	2362.97	
9.45	0.00	2367.10	
9.46	0.00	2371.24	
9.47	0.00	2375.38	
9.48	0.00	2379.53	
9.49	0.00	2383.67	
9.50	0.00	2387.81	
9.51	0.00	2391.96	
